"character","meaning","readings","examples","ready"
"百","cent","ひゃく","ひゃく：三百（さんびゃく）","true"
"千","mille","せん","せん：三千（さんぜん）","true"
"万","dix mille","まん","まん：一万円（いちまんえん）","true"
"円","yen, cercle","えん","えん：百円（ひゃくえん）","true"
"一","un","いち・ひと","いち：一度（いちど）
ひと：一つ（ひとつ）","true"
"二","deux","に・ふた","に：二次会（にじかい）
ふた：二人（ふたり）","true"
"三","trois","さん・みっ","さん：三々（さんさん）
みっ：三つ（みっつ）","true"
"四","quatre","し・よん・よっ","し：四月（しがつ）
よん：十四（じゅうよん）
よっ：四つ（よっつ）","true"
"五","cinq","ご・いつ","ご：五悪（ごあく）
いつ：五日（いつか）","true"
"六","six","ろく・むっ","ろく：六月（ろくがつ）
むっ：六つ（むっつ）","true"
"七","sept","しち・なな","しち：七時（しちじ）
なな：七つ（ななつ）","true"
"八","huit","はち・やっ","はち：尺八（しゃくはち）
やっ：八つ（やっつ）","true"
"九","neuf","きゅう・く・ここの","きゅう：九夏（きゅうか）
く：九月（くがつ）
ここの：九つ（ここのつ）","true"
"十","dix","じゅう・とお","じゅう：十分（じゅうぶん）
とお：十日（とおか）","true"
"零","zéro","れい","れい：零点（れいてん）","true"
"月","lune, mois","げつ・がつ・つき","げつ：月曜日（げつようび）
がつ：何月（なんがつ）
つき：毎月（まいつき）","true"
"火","feu","か・ひ","か：火曜日（かようび）
ひ：花火（はなび）","true"
"水","eau","すい・みず","すい：水曜日（すいようび）
みず：水（みず）","true"
"木","arbre, bois","もく・き","もく：木曜日（もくようび）
き：木（き）","true"
"金","or, argent","きん・かね","きん：金曜日（きんようび）
かね：お金（おかね）","true"
"土","terre, sol","ど・つち","ど：土曜日（どようび）
つち：灰土（はいつち）","true"
"日","jour, soleil","にち・じつ・ひ","にち：毎日（まいにち）
じつ：平日（へいじつ）
ひ：月曜日（げつようび）","true"
"年","année","ねん・とし","ねん：去年（きょねん）
とし：毎年（まいとし（まいねん））","true"
"人","personne","じん・にん・ひと","じん：ご主人（ごしゅじん）
にん：人気（にんき）
ひと：あの 人（あの 方）（あの ひと（あの かた））","true"
"口","bouche, ouverture","こう・くち","こう：人口（じんこう）
くち：入口（いりぐち）","true"
"目","œil","もく・め","もく：目的（もくてき）
め：目覚まし（めざまし）","true"
"耳","oreille","じ・みみ","じ：外耳（がいじ）
みみ：耳（みみ）","true"
"手","main","しゅ・て","しゅ：歌手（かしゅ）
て：手帳（てちょう）","true"
"足","pied, jambe, suffire","そく・あし・た","そく：一足（いっそく）
あし：足（あし）
た：足す（たす）","true"
"力","force","りょく・ちから","りょく：握力（あくりょく）
ちから：力（ちから）","true"
"王","roi","おう","おう：王様（おうさま）","true"
"山","montagne","さん・やま","さん：富士山（ふじさん）
やま：山登り（やまのぼり）","true"
"川","rivière","せん・かわ","せん：河川（かせん）
かわ：川（かわ）","true"
"田","rizière","でん・た","でん：お田（おでん）
た：田んぼ（たんぼ）","true"
"石","pierre","せき・いし","せき：石油（せきゆ）
いし：石（いし）","true"
"花","fleur","か・はな","か：花瓶（かびん）
はな：花見（はなみ）","true"
"竹","bambou","ちく・たけ","ちく：竹材（ちくざい）
たけ：竹（たけ）","true"
"雨","pluie","う・あめ","う：雨声（うせい）
あめ：大雨（おおあめ）","true"
"虫","insecte","ちゅう・むし","ちゅう：益虫（えきちゅう）
むし：虫（むし）","true"
"上","haut, monter","じょう・うえ・あ","じょう：屋上（おくじょう）
うえ：上（うえ）
あ：上げ（あげ）","true"
"下","bas, descendre","か・げ・した・さ","か：地下（ちか）
げ：以下（いげ）
した：下着（したぎ）
さ：下げ（さげ）","true"
"左","gauche","さ・ひだり","さ：左行（さぎょう）
ひだり：左手（ひだりて）","true"
"右","droite","う・ゆう・みぎ","う：右縁（うえん）
ゆう：左右（さゆう）
みぎ：右手（みぎて）","true"
"外","extérieur, dehors","がい・そと・はず","がい：外国（がいこく）
そと：外（そと）
はず：外す（はずす）","true"
"内","intérieur, dedans","ない・うち","ない：案内書（あんないしょ）
うち：内々（うちうち）","true"
"中","milieu, intérieur","ちゅう・なか","ちゅう：中国（ちゅうごく）
なか：真ん中（まんなか）","true"
"学","étudier, apprentissage","がく・まな","がく：学生（がくせい）
まな：学ぶ（まなぶ）","true"
"校","école","こう","こう：学校（がっこう）","true"
"先","avant, précédent","せん・さき","せん：先生（せんせい）
さき：先に（さきに）","true"
"生","vie, naître","せい・しょう・い・う・なま","せい：先生（せんせい）
しょう：誕生日（たんじょうび）
い：生け花（いけばな）
う：生む（うむ）
なま：生ふ（なまふ）","true"
"名","nom","めい・みょう・な","めい：名刺（めいし）
みょう：異名（いみょう）
な：名前（なまえ）","true"
"字","caractère, lettre","じ・あざ","じ：漢字（かんじ）
あざ：大字（おおあざ）","true"
"本","livre, origine","ほん・もと","ほん：本屋（ほんや）
もと：本々（もともと）","true"
"休","repos, se reposer","きゅう・やす","きゅう：連休（れんきゅう）
やす：休み（やすみ）","true"
"大","grand","だい・たい・おお","だい：大学（だいがく）
たい：大学（だいがく）
おお：大きい（おおきい）","true"
"小","petit","しょう・ちい・こ","しょう：小説（しょうせつ）
ちい：小さい（ちいさい）
こ：小学校（しょうがっこう）","true"
"高","haut, cher","こう・たか","こう：高校（こうこう）
たか：高い（たかい）","true"
"友","ami","ゆう・とも","ゆう：悪友（あくゆう）
とも：友達（ともだち）","true"
"入","entrer","にゅう・はい・い","にゅう：入学試験（にゅうがくしけん）
はい：入る（はいる）
い：押し入れ（おしいれ）","true"
"出","sortir","しゅつ・で・だ","しゅつ：圧出（あっしゅつ）
で：出口（でぐち）
だ：引き出し（ひきだし）","true"
"門","porte, portail","もん・かど","もん：専門（せんもん）
かど：御門（みかど）","true"
"体","corps","たい・からだ","たい：体育館（たいいくかん）
からだ：体に いい（からだに いい）","true"
"父","père","ふ・ちち","ふ：祖父（そふ）
ちち：父（ちち）","true"
"母","mère","ぼ・はは","ぼ：祖母（そぼ）
はは：母の 日（ははの ひ）","true"
"子","enfant","し・す・こ","し：甲子園（こうしえん）
す：様子（ようす）
こ：子ども（こども）","true"
"男","homme, masculin","だん・なん・おとこ","だん：男性（だんせい）
なん：長男（ちょうなん）
おとこ：男の 人（おとこの ひと）","true"
"女","femme, féminin","じょ・にょ・おんな","じょ：彼女（かのじょ）
にょ：王女（おうにょ）
おんな：女の 人（おんなの ひと）","true"
"犬","chien","けん・いぬ","けん：愛犬（あいけん）
いぬ：子犬（こいぬ）","true"
"立","se lever, être debout","りつ・た","りつ：王立（おうりつ）
た：立入禁止（たちいりきんし）","true"
"見","voir, regarder","けん・み","けん：意見（いけん）
み：花見（はなみ）","true"
"聞","entendre, demander","ぶん・もん・き","ぶん：新聞（しんぶん）
もん：見聞（けんもん）
き：聞く（きく）","true"
"行","aller, ligne","こう・ぎょう・い・おこな","こう：銀行員（ぎんこういん）
ぎょう：か行（かぎょう）
い：行く（いく）
おこな：行い（おこない）","true"
"来","venir, prochain","らい・く・き","らい：来週（らいしゅう）
く：来る（くる）
き：出来事（できごと）","true"
"帰","rentrer","き・かえ","き：帰す（きす）
かえ：帰り（かえり）","true"
"米","grain de riz","べい・まい・こめ・よね","べい：米ソ（べいソ）
まい：外米（がいまい）
こめ：米（こめ）
よね：白米（しらよね）","true"
"茶","thé","ちゃ・さ","ちゃ：お茶（おちゃ）
さ：喫茶店（きっさてん）","true"
"牛","vache","ぎゅう・うし","ぎゅう：牛乳（ミルク）（ぎゅうにゅう（ミルク））
うし：牡牛座（おうしざ）","true"
"肉","chair","にく・しし","にく：豚肉（ぶたにく）
しし：肉合（ししあい）","true"
"魚","poisson","ぎょ・うお・さかな","ぎょ：魚網（ぎょもう）
うお：魚座（うおざ）
さかな：魚（さかな）","true"
"貝","coquillage","ばい・かい","ばい：貝貨（ばいか）
かい：貝（かい）","true"
"好","aimer bien","こう・この・す","こう：し好（しこう）
この：好み（このみ）
す：好き（すき）","true"
"物","objet","ぶつ・もつ・もの","ぶつ：動物（どうぶつ）
もつ：荷物（にもつ）
もの：食べ物（たべもの）","true"
"時","temps","じ・とき・どき","じ：何時（なんじ）
とき：時々（ときどき）
どき：花時（はなどき）","true"
"間","intervalle","かん・けん・あいだ・ま","かん：時間（じかん）
けん：一間（いっけん）
あいだ：この間（このあいだ）
ま：昼間（ひるま）","true"
"今","maintenant","こん・きん・いま","こん：今晩（こんばん）
きん：古今（こきん）
いま：今では（いまでは）","true"
"半","moitié","はん・なか","はん：半分（はんぶん）
なか：半ば（なかば）","true"
"分","portion","ぶん・ふん・わ","ぶん：自分で（じぶんで）
ふん：自分で（じぶんで）
わ：分け（わけ）","true"
"何","quoi","か・なに・なん","か：幾何（きか）
なに：何か（なにか）
なん：何歳（なんさい（おいくつ））","true"
"夕","soirée","せき・ゆう","せき：一夕（いっせき）
ゆう：夕方（ゆうがた）","true"
"方","direction","ほう・かた・がた","ほう：方法（ほうほう）
かた：読み方（よみかた）
がた：夕方（ゆうがた）","true"
"林","bois (petite forêt)","りん・はやし","りん：杏林（きょうりん）
はやし：林（はやし）","true"
"森","forêt","しん・もり","しん：森々（しんしん）
もり：森（もり）","true"
"畑","ferme","はた・はたけ","はた：畑（はたけ）
はたけ：畑（はたけ）","true"
"岩","rocher","がん・いわ","がん：岩塩（がんえん）
いわ：岩（いわ）","true"
"音","son","おん・いん・おと・ね","おん：音楽（おんがく）
いん：音信（いんしん）
おと：音（おと）
ね：遠音（とおね）","true"
"明","clair","めい・みょう・あ・あか","めい：説明書（せつめいしょ）
みょう：光明（こうみょう）
あ：明るい（あかるい）
あか：明るい（あかるい）","true"
"暗","obscurité","あん・くら・くれ","あん：暗証番号（あんしょうばんごう）
くら：暗い（くらい）
くれ：木の暗（このくれ）","true"
"言","dire, parole","げん・ごん・い・こと","げん：言々（げんげん）
ごん：悪言（あくごん）
い：言い伝え（いいつたえ）
こと：空言（むなこと）","true"
"書","écrire, livre","しょ・か","しょ：辞書（じしょ）
か：書留（かきとめ）","true"
"読","lire","どく・よ","どく：読モ（どくモ）
よ：読み方（よみかた）","true"
"話","parler, histoire","わ・はな・はなし","わ：電話（でんわ）
はな：話す（はなす）
はなし：昔話（むかしばなし）","true"
"食","manger, nourriture","しょく・た","しょく：食堂（しょくどう）
た：食べ物（たべもの）","true"
"飲","boire","いん・の","いん：愛飲（あいいん）
の：飲み物（のみもの）","true"
"買","acheter","ばい・か","ばい：故買（こばい）
か：買い物（かいもの）","true"
"町","quartier","ちょう・まち","ちょう：市町（しちょう）
まち：町（まち）","true"
"寺","temple bouddhiste","じ・てら","じ：金閣寺（きんかくじ）
てら：寺（てら）","true"
"電","électricité","でん","でん：電気（でんき）","true"
"車","véhicule","しゃ・くるま","しゃ：自動車（じどうしゃ）
くるま：車（くるま）","true"
"北","nord","ほく・きた","ほく：以北（いほく）
きた：北（きた）","true"
"南","sud","なん・な・みなみ","なん：南ア（なんア）
な：南（みなみ）
みなみ：南（みなみ）","true"
"西","Ouest","せい・さい・にし","せい：以西（いせい）
さい：関西（かんさい）
にし：西（にし）","true"
"東","Est","とう・ひがし","とう：東京スカイツリー（とうきょうスカイツリー）
ひがし：東（ひがし）","true"
"新","nouveau","しん・あたら・あら","しん：新聞（しんぶん）
あたら：新しい（あたらしい）
あら：新た（あらた）","true"
"古","vieux","こ・ふる","こ：懐古（かいこ）
ふる：古い（ふるい）","true"
"長","long","ちょう・なが・おさ","ちょう：課長（かちょう）
なが：長い（ながい）
おさ：船長（ふなおさ）","true"
"安","paisible","あん・やす","あん：安全（あんぜん）
やす：安い（やすい）","true"
"多","beaucoup","た・おお","た：多（た）
おお：多い（おおい）","true"
"少","un petit peu","しょう・すく・すこ","しょう：少々（しょうしょう）
すく：少ない（すくない）
すこ：少し（すこし）","true"
"元","commencement","げん・がん・もと","げん：元気（げんき）
がん：元三（がんざん）
もと：元（もと）","true"
"気","esprit","き・け","き：電気（でんき）
け：っ気（っけ）","true"
"家","maison","か・け・いえ・や","か：家族（かぞく）
け：家（け）
いえ：家（いえ）
や：家賃（やちん）","true"
"族","tribu","ぞく","ぞく：家族（かぞく）","true"
"兄","frère aîné","けい・きょう・あに","けい：家兄（かけい）
きょう：兄弟（きょうだい）
あに：兄（あに）","true"
"弟","frère cadet","てい・だい・おとうと","てい：義弟（ぎてい）
だい：兄弟（きょうだい）
おとうと：弟さん（おとうとさん）","true"
"姉","soeur aînée","し・あね","し：姉妹（しまい）
あね：姉（あね）","true"
"妹","soeur cadette","まい・いもうと","まい：姉妹（しまい）
いもうと：妹さん（いもうとさん）","true"
"私","privé","し・わたくし・わたし","し：私（わたし）
わたくし：私（わたくし）
わたし：私（わたし）","true"
"育","élever","いく・そだ・はぐく","いく：体育館（たいいくかん）
そだ：育てる（そだてる）
はぐく：育む（はぐくむ）","true"
"部","partie","ぶ・べ","ぶ：部長（ぶちょう）
べ：下部（しもべ）","true"
"屋","toit","おく・や","おく：屋上（おくじょう）
や：本屋（ほんや）","true"
"広","vaste","こう・ひろ","こう：広々（こうこう）
ひろ：広い（ひろい）","true"
"低","bas","てい・ひく","てい：高低（こうてい）
ひく：低い（ひくい）","true"
"近","près","きん・こん・ちか","きん：最近（さいきん）
こん：近流（こんる）
ちか：近く（ちかく）","true"
"遠","loin","えん・おん・とお","えん：遠慮なく（えんりょなく）
おん：遠国（おんごく）
とお：遠い（とおい）","true"
"静","calme","せい・じょう・しず","せい：安静（あんせい）
じょう：静注（じょうちゅう）
しず：静か（しずか）","true"
"洋","occidental","よう","よう：洋服（ようふく）","true"
"服","habillement","ふく","ふく：洋服（ようふく）","true"
"短","court","たん・みじか","たん：簡短（かんたん）
みじか：短い（みじかい）","true"
"玉","bijoux","ぎょく・たま・だま","ぎょく：玉砕（ぎょくさい）
たま：お年玉（おとしだま）
だま：お年玉（おとしだま）","true"
"毛","pilosité","もう・け","もう：一毛（いちもう）
け：毛（け）","true"
"糸","fil","し・いと","し：一糸（いっし）
いと：糸（いと）","true"
"光","rayon","こう・ひか・ひかり","こう：日光（にっこう）
ひか：光（ひかり）
ひかり：光（ひかり）","true"
"衣","vêtement","い・え・ころも・きぬ","い：悪衣（あくい）
え：衣鉢（えはつ）
ころも：衣（ころも）
きぬ：衣々（きぬぎぬ）","true"
"店","magasin","てん・みせ・たな","てん：喫茶店（きっさてん）
みせ：店（みせ）
たな：お店（おたな）","true"
"客","hôte","きゃく・かく","きゃく：お客様（おきゃくさま）
かく：佳客（かかく）","true"
"親","parent","しん・おや・した","しん：親切（しんせつ）
おや：親子どんぶり（おやこどんぶり）
した：親しい（したしい）","true"
"切","couper","せつ・さい・き・ぎ","せつ：親切（しんせつ）
さい：一切（いっさい）
き：切符（きっぷ）
ぎ：切れ（ぎれ）","true"
"売","vendre","ばい・う","ばい：自動販売機（じどうはんばいき）
う：売り場（うりば）","true"
"当","frapper","とう・あ・まさ","とう：弁当（べんとう）
あ：当たる（あたる）
まさ：当に（まさに）","true"
"品","marchandise","ひん・ほん・しな","ひん：製品（せいひん）
ほん：九品（くほん）
しな：品物（しなもの）","true"
"便","commodité","べん・びん・たよ","べん：便利（べんり）
びん：郵便局（ゆうびんきょく）
たよ：便り（たより）","true"
"利","profit","り・き","り：便利（べんり）
き：利く（きく）","true"
"使","utiliser","し・つか・づか","し：大使館（たいしかん）
つか：使う（つかう）
づか：心使い（こころづかい）","true"
"銀","argent","ぎん・しろがね","ぎん：銀行員（ぎんこういん）
しろがね：銀鯵（しろがねあじ）","true"
"白","blanc","はく・びゃく・しろ・しら","はく：白馬（はくば）
びゃく：白し（びゃくし）
しろ：白い（しろい）
しら：白む（しらむ）","true"
"黒","noir","こく・くろ","こく：黒奴（こくど）
くろ：黒い（くろい）","true"
"紙","papier","し・かみ","し：ろ紙（ろし）
かみ：手紙（てがみ）","true"
"朝","matin","ちょう・あさ","ちょう：朝ロ（ちょうロ）
あさ：毎朝（まいあさ）","true"
"晩","soir","ばん","ばん：今晩（こんばん）","true"
"昼","journée","ちゅう・ひる","ちゅう：昼餐（ちゅうさん）
ひる：昼休み（ひるやすみ）","true"
"夜","nuit","や・よ・よる","や：今夜（こんや）
よ：夜（よる）
よる：夜（よる）","true"
"前","devant","ぜん・まえ","ぜん：午前（ごぜん）
まえ：名前（なまえ）","true"
"後","après","ご・こう・のち・うし","ご：午後（ごご）
こう：後胤（こういん）
のち：後に（のちに）
うし：後ろ（うしろ）","true"
"午","midi","ご・うま","ご：午前（ごぜん）
うま：午年（うまどし）","true"
"早","tôt","そう・さっ・はや・さ","そう：早々（そうそう）
さっ：早速（さっそく）
はや：早い（はやい）
さ：早月（さつき）","true"
"荷","bagages","か・に","か：一荷（いっか）
に：荷物（にもつ）","true"
"送","escorter","そう・おく","そう：放送（ほうそう）
おく：送る（おくる）","true"
"宅","domicile","たく","たく：お宅（おたく）","true"
"急","urgence","きゅう・いそ・せ","きゅう：急行（きゅうこう）
いそ：急ぎ（いそぎ）
せ：急く（せく）","true"
"速","vite","そく・はや・すみ","そく：速達（そくたつ）
はや：速い（はやい）
すみ：速やか（すみやか）","true"
"遅","retard","ち・おく・おそ","ち：遅々（ちち）
おく：遅れ（おくれ）
おそ：遅い（おそい）","true"
"重","lourd","じゅう・ちょう・え・おも","じゅう：重々（じゅうじゅう）
ちょう：貴重（きちょう）
え：九重（ここのえ）
おも：重い（おもい）","true"
"軽","léger","けい・きょう・かる・かろ","けい：軽々（けいけい）
きょう：軽忽（きょうこつ）
かる：軽い（かるい）
かろ：軽い（かろい）","true"
"住","résider","じゅう・す・ず","じゅう：住所（じゅうしょ）
す：住む（すむ）
ず：山住み（やまずみ）","true"
"所","lieu","しょ・ところ・どころ","しょ：事務所（じむしょ）
ところ：台所（だいどころ）
どころ：台所（だいどころ）","true"
"様","Monsieur, Madame","よう・さま・さん","よう：様子（ようす）
さま：お客様（おきゃくさま）
さん：愛様（いとさん）","true"
"主","maître","しゅ・す・ぬし・おも","しゅ：ご主人（ごしゅじん）
す：留主（るす）
ぬし：主（ぬし）
おも：主に（おもに）","true"
"番","tour (de rôle)","ばん・つが","ばん：番号（ばんごう）
つが：番い（つがい）","true"
"地","sol","ち・じ","ち：地下（ちか）
じ：地震（じしん）","true"
"号","surnom","ごう","ごう：番号（ばんごう）","true"
"京","capitale","きょう・けい・みやこ","きょう：東京スカイツリー（とうきょうスカイツリー）
けい：英京（えいけい）
みやこ：京（みやこ）","true"
"国","pays","こく・くに","こく：韓国（かんこく）
くに：国（くに）","true"
"都","métropole","と・つ・みやこ","と：都会（とかい）
つ：都合（つごう）
みやこ：都（みやこ）","true"
"道","voie","どう・とう・みち","どう：柔道（じゅうどう）
とう：柔道（じゅうどう）
みち：道（みち）","true"
"府","préfecture urbaine","ふ","ふ：大阪府（おおさかふ）","true"
"県","préfecture","けん","けん：県（けん）","true"
"市","marché","し・いち","し：市役所（しやくしょ）
いち：市井（いちい）","true"
"区","circonscription","く","く：区（く）","true"
"村","village","そん・むら","そん：寒村（かんそん）
むら：村（むら）","true"
"毎","chaque","まい・ごと","まい：毎朝（まいあさ）
ごと：毎に（ごとに）","true"
"週","semaine","しゅう","しゅう：先週（せんしゅう）","true"
"映","projection","えい・うつ・は","えい：映画（えいが）
うつ：映る（うつる）
は：映え（はえ）","true"
"画","trait de plume","が・かく・えが","が：映画（えいが）
かく：画（かく）
えが：画く（えがく）","true"
"館","bâtiment","かん・やかた・たて","かん：図書館（としょかん）
やかた：夏館（なつやかた）
たて：函館（はこだて）","true"
"公","public","こう・く・おおやけ","こう：公園（こうえん）
く：公家（くげ）
おおやけ：公（おおやけ）","true"
"園","parc","えん・その","えん：甲子園（こうしえん）
その：園（その）","true"
"夫","mari","ふ・ふう・おっと・それ","ふ：大丈夫（だいじょうぶ）
ふう：工夫（くふう）
おっと：夫（おっと）
それ：夫々（それぞれ）","true"
"妻","épouse","さい・つま","さい：愛妻（あいさい）
つま：妻（つま）","true"
"特","spécial","とく","とく：特に（とくに）","true"
"思","penser","し・おも","し：不思議（ふしぎ）
おも：思う（おもう）","true"
"料","redevance","りょう","りょう：料理（りょうり）","true"
"理","logique","り・ことわり","り：料理（りょうり）
ことわり：理（ことわり）","true"
"有","posséder","ゆう・う・あ","ゆう：有名（ゆうめい）
う：有無（うむ）
あ：有る（ある）","true"
"会","réunion","かい・え・あ","かい：会社員（かいしゃいん）
え：会す（えす）
あ：会う（あう）","true"
"社","temple shinto","しゃ・やしろ","しゃ：社員（しゃいん）
やしろ：大社（おおやしろ）","true"
"働","travailler","どう・はたら","どう：自働（じどう）
はたら：働きすぎ（はたらきすぎ）","true"
"作","fabriquer","さく・さ・つく・づく","さく：作文（さくぶん）
さ：作文（さくぶん）
つく：作る（つくる）
づく：作り（づくり）","true"
"工","ingénierie","こう・く","こう：工場（こうじょう）
く：日曜大工（にちようだいく）","true"
"場","lieu","じょう・ば","じょう：牧場（ぼくじょう）
ば：売り場（うりば）","true"
"始","commencer","し・はじ","し：始める（はじめる）
はじ：始める（はじめる）","true"
"終","finir","しゅう・お・おわ","しゅう：サ終（サしゅう）
お：終わり（おわり）
おわ：終わる（おわる）","true"
"駅","gare","えき","えき：駅員（えきいん）","true"
"鉄","fer","てつ・くろがね","てつ：地下鉄（ちかてつ）
くろがね：鉄（くろがね）","true"
"乗","monter","じょう・しょう・の","じょう：移乗（いじょう）
しょう：移乗（いじょう）
の：乗り場（のりば）","true"
"降","descendre","こう・ご・お・ふ","こう：以降（いこう）
ご：来降（らいごう）
お：降りる（おりる）
ふ：降る（ふる）","true"
"開","ouvrir","かい・ひら・びら","かい：開院（かいいん）
ひら：開く（ひらく）
びら：前開き（まえびらき）","true"
"閉","fermer","へい・と・し","へい：開閉（かいへい）
と：閉ざす（とざす）
し：閉める（しめる）","true"
"発","départ","はつ・ほつ・た・あば","はつ：発音（はつおん）
ほつ：開発（かいほつ）
た：発つ（たつ）
あば：発く（あばく）","true"
"着","enfiler","ちゃく・じゃく・き・つ","ちゃく：着々（ちゃくちゃく）
じゃく：着す（じゃくす）
き：上着（うわぎ）
つ：着く（つく）","true"
"交","mélanger","こう・まじ・ま","こう：交通（こうつう）
まじ：交る（まじる）
ま：交ず（まず）","true"
"通","circulation","つう・つ・とお・どお","つう：普通（ふつう）
つ：普通（ふつう）
とお：通す（とおす）
どお：通り（どおり）","true"
"台","piédestal","だい・たい・うてな","だい：台所（だいどころ）
たい：台所（だいどころ）
うてな：台（うてな）","true"
"止","arrêter","し・と・ど","し：使用禁止（しようきんし）
と：止まる（とまる）
ど：止め（どめ）","true"
"色","couleur","しょく・しき・いろ","しょく：暗色（あんしょく）
しき：気色（けしき）
いろ：黄色（きいろ）","true"
"赤","rouge","せき・しゃく・あか","せき：赤外（せきがい）
しゃく：赤熱（しゃくねつ）
あか：赤い（あかい）","true"
