id,japanese,reading,french,category,lesson,level,ready
"v0001","わたし","わたし","je, moi","nom/autre","1","N5","true"
"v0002","あなた","あなた","vous (singulier)","nom/autre","1","N5","true"
"v0003","あの 人（あの 方）","あの ひと（あの かた）","cette personne(-là); il, lui, elle (あの かた est la forme polie de あの ひと)","nom/autre","1","N5","true"
"v0004","～さん","～さん","M., Mme, Mlle (suffixe ajouté au nom pour exprimer la politesse)","nom/autre","1","N5","true"
"v0005","～ちゃん","～ちゃん","(suffixe ajouté au prénom d'un enfant à la place de ～さん)","nom/autre","1","N5","true"
"v0006","～人","～じん","(suffixe ajouté au nom d'un pays, ce qui signifie qu'une personne est de cette nationalité ex : アメリカじん un(e) Américain(e))","nom/autre","1","N5","true"
"v0007","先生","せんせい","professeur, instituteur, maître (ne s'emploie pas pour désigner sa propre profession)","nom/autre","1","N5","true"
"v0008","教師","きょうし","enseignant","nom/autre","1","N5","true"
"v0009","学生","がくせい","étudiant","nom/autre","1","N5","true"
"v0010","会社員","かいしゃいん","employé d'une compagnie","nom/autre","1","N5","true"
"v0011","社員","しゃいん","employé (utilisé avec le nom de la compagnie ex : IMC の しゃいん)","nom/autre","1","N5","true"
"v0012","銀行員","ぎんこういん","employé de banque","nom/autre","1","N5","true"
"v0013","医者","いしゃ","médecin","nom/autre","1","N5","true"
"v0014","研究者","けんきゅうしゃ","chercheur","nom/autre","1","N5","true"
"v0015","大学","だいがく","université","nom/autre","1","N5","true"
"v0016","病院","びょういん","hôpital","nom/autre","1","N5","true"
"v0017","だれ（どなた）","だれ（どなた）","qui (どなた est la forme polie de だれ)","nom/autre","1","N5","true"
"v0018","－歳","－さい","－ an(s)","nom/autre","1","N5","true"
"v0019","何歳","なんさい（おいくつ）","quel âge (おいくつ est la forme polie de なんさい)","nom/autre","1","N5","true"
"v0020","はい","はい","oui","expression","1","N5","true"
"v0021","いいえ","いいえ","non","expression","1","N5","true"
"v0022","初めまして。","はじめまして。","Enchanté (litt. Je vous rencontre pour la première fois. L'expression est utilisée habituellement comme première phrase lors de la présentation de soi)","expression","1","N5","true"
"v0023","～から 来ました。","～から きました。","Je viens (je suis venu) de ～.","verbe","1","N5","true"
"v0024","よろしく。","よろしく。","Très heureux de faire votre connaissance (litt. Merci de votre haute bienveillance. On utilise l'expression à la fin de la présentation de soi).","expression","1","N5","true"
"v0025","失礼ですが","しつれいですが","Excusez-moi (l'expression est utilisée lorsqu'on demande une information personnelle à l'interlocuteur telle que son nom ou son adresse).","nom/autre","1","N5","true"
"v0026","お名前は？","おなまえは？","Comment vous appelez-vous? Quel est votre nom?","expression","1","N5","true"
"v0027","こちらは ～さんです。","こちらは ～さんです。","Voici M. (Mme, Mlle) ～.","expression","1","N5","true"
"v0028","アメリカ","アメリカ","États-Unis","nom/autre","1","N5","true"
"v0029","イギリス","イギリス","Angleterre","nom/autre","1","N5","true"
"v0030","インド","インド","Inde","nom/autre","1","N5","true"
"v0031","インドネシア","インドネシア","Indonésie","nom/autre","1","N5","true"
"v0032","韓国","かんこく","Corée (du Sud)","nom/autre","1","N5","true"
"v0033","タイ","タイ","Thaïlande","nom/autre","1","N5","true"
"v0034","中国","ちゅうごく","Chine","nom/autre","1","N5","true"
"v0035","ドイツ","ドイツ","Allemagne","nom/autre","1","N5","true"
"v0036","日本","にほん","Japon","nom/autre","1","N5","true"
"v0037","ブラジル","ブラジル","Brésil","nom/autre","1","N5","true"
"v0042","わたしたち","わたしたち","nous","nom/autre","1","N5","true"
"v0043","皆さん","みなさん","(vous) tous, Mesdames, Mesdemoiselles et Messieurs","nom/autre","1","N5","true"
"v0044","～君","～くん","(suffixe ajouté au nom ou au prénom d'un garçon)","nom/autre","1","N5","true"
"v0045","エンジニア","エンジニア","ingénieur","nom/autre","1","N5","true"
"v0046","電気","でんき","électricité, lampe, lumière","nom/autre","1","N5","true"
"v0047","フランス","フランス","France","nom/autre","1","N5","true"
"v0048","これ","これ","ce, ceci (celui qui se trouve près du locuteur)","nom/autre","2","N5","true"
"v0049","それ","それ","ce, cela (celui qui se trouve près de l'interlocuteur)","nom/autre","2","N5","true"
"v0050","あれ","あれ","ce, cela (celui que se trouve loin du locuteur et de l'interlocuteur)","nom/autre","2","N5","true"
